iter	Passed	Remaining
0	1	141
1	2	136
2	10	350
3	11	283
4	13	247
5	14	222
6	16	217
7	17	201
8	19	195
9	24	218
10	27	221
11	28	210
12	29	200
13	31	191
14	32	183
15	39	209
16	41	204
17	43	197
18	44	190
19	46	184
20	47	179
21	48	173
22	55	186
23	57	180
24	58	174
25	59	169
26	60	163
27	62	159
28	63	155
29	67	158
30	69	154
31	71	151
32	72	146
33	73	142
34	74	138
35	75	134
36	76	130
37	77	126
38	79	124
39	82	124
40	84	121
41	84	116
42	85	113
43	87	110
44	88	108
45	90	105
46	91	102
47	92	100
48	93	97
49	94	94
50	96	92
51	98	90
52	99	88
53	100	85
54	101	82
55	102	80
56	106	80
57	107	78
58	109	75
59	111	74
60	113	72
61	114	70
62	115	68
63	117	65
64	118	63
65	119	61
66	121	59
67	126	59
68	129	58
69	130	55
70	131	53
71	132	51
72	134	49
73	135	47
74	137	45
75	138	43
76	139	41
77	143	40
78	145	38
79	146	36
80	147	34
81	148	32
82	150	30
83	151	28
84	153	27
85	156	25
86	157	23
87	159	21
88	160	19
89	161	17
90	163	16
91	164	14
92	165	12
93	166	10
94	167	8
95	168	7
96	171	5
97	173	3
98	175	1
99	176	0
